id	en	en_US	ja	es	fr	it	pt_BR	es_US	de	pl	zh	tr	se	ru
														
Sonic & Shahra's lines must end in '_so' & '_sh' respectively.	Retail English Translation.	Windii's Japanese-accurate translation.	Retail Japanese Translation	Aoi's Spanish Translation	Armetz & s3nkuuv's French Translation 	Luken's & LimeWeb's Italian Translation	Skyer, Tio Illuminati & AlvinGoldhart's Brazilian Portuguese Translation	kawaiikaorichan's Latin American Spanish Translation	A Blob, Milonoto, Elements of Justice & Dark's German Translation	Eveefun Polish Translation (Bartek too kinda)	Vexion's Chinese Translation	Türkmander's Turkish Translation	Johan23t's Swedish Translation	Dark Sonic's Russian Translation
														
														
secret_rings_title	Sonic and the Secret Rings		ソニックと秘密のリング	Sonic y los Anillos Secretos	Sonic and the Secret Rings 	Sonic e gli Anelli Segreti	Sonic e os Anéis Secretos	Sonic y los Anillos Secretos	Sonic und die Geheimen Ringe	Sonic i Sekretne Pierścienie	音速小子與秘密戒指	Sonic ve Gizli Yüzükler	Sonic och dem Hemliga Ringarna	Соник и Мировые кольца
any_button	Press Any Button													
														
system												sistem		
														
load_level	Loading Mission		ミーションロードする	Cargando Misión	Chargement de la Mission	Caricamento Missione	Carregando Missão	Cargando misión	Mission wird geladen	Wczytywanie Misji	任務載入中	Görev Yükleniyor	Laddar Uppdrag	Загрузка миссии
load_probes	Loading Light Probes		光をロードする	Cargando Sondas de Luz	Chargement des Sondes Lumineuses	Caricamento delle Sonde di Luce	Carregando Sondas de Luz	Cargando luces	Lichtsonden werden geladen	Wczytywanie Próbek Światła	光探頭載入中	Işık Verileri Yükleniyor	Laddar Ljussoner	Загрузка данных освещения
														
sys_select	Select		けってい	Seleccionar	Accepter	Seleziona	Selecionar	Seleccionar	Auswählen	Wybierz	選擇	Seç	Välj	Выбрать
sys_cancel	Cancel		もどる	Atrás	Retour	Cancella	Cancelar	Cancelar	Abbrechen	Anuluj	取消	İptal	Avbryt	Отмена
sys_yes	Yes		はい	Sí	Oui	Si	Sim	Sí	Ja	Tak	是	Evet	Ja	Да
sys_no	No		いいえ	No	Non	No	Não	No	Nein	Nie	否	Hayır	Nej	Нет
sys_delete	Delete		デリート	Borrar	Effacer	Cancella	Deletar	Borrar	Löschen	Usuń	刪除	Sil	Radera	Удалить
sys_clear	Clear		クリア	Vacíar	Vider	Libera	Limpar	Limpiar	Leeren	Wyczyść	清除	Temizle	Rensa	Стереть
sys_delete_description	Are you sure you want to delete this save file?		このデータを削除します。\nよろしいですか?	¿Deseas borrar el archivo de guardado?	Voulez-vous vraiment supprimer cette sauvegarde ?	Sei sicuro di voler cancellare questo salvataggio?	Deseja mesmo apagar este progresso salvo?	¿Seguro(a) que quieres borrar estos datos?	Bist du sicher dass du diesen Spielstand löschen willst?	Czy na pewno chcesz usunąć ten plik zapisu?	您確定要刪除此存檔資料？	Bu kayıt dosyasını silmek istediğinden emin misin?	Är du säker på att du vill radera den här sparfilen?	Вы уверены, что хотите\nудалить данное сохранение?
sys_control_mode_description	Select a control style.\nYou can always change this through the skill select menu.						Escolha um tipo de controle.\nVocê pode alterar isso pelo menu de habilidades.	Elige un modo de control.\nPodrás cambiarlo en el menú de selección de habilidades.						Выберите стиль управления.\nВы всегда можете изменить его\nчерез меню выбора навыка.
sys_retail_control	Retail						Original	Original						Оригинал
sys_reignited_control	Reignited						Reignited	Reencendido						Ремейк
sys_traditional_control	Traditional						Tradicional	Tradicional						Классика
sys_retail_description	Mimmicks the original Wii game's autorun and charge jump.\nRecommended for purists.						Imita a corrida automatica e pulo carregado do jogo de Wii original.\nRecomendado para puristas	Imita el movimiento automático y el salto cargado del Wii.\nRecomendado para puristas.						Имитирует автобег и прыжок с зарядом\nиз оригинальной игры для Wii.\nРекомендуется для ценителей оригинала.
sys_reignited_description	Updates the core on-rails style gameplay for modern controllers.\nRecommended for most players.						Atualiza o estilo de jogo linear para controles modernos.\nRecomendado para a maioria dos jogadores.	Actualiza la jugabilidad lineal del juego para adaptarla a los controles modernos.\nRecomendado para la mayoría.						Обновляет основной геймплей в стиле\n"""по рельсам""" для современных геймпадов.\nРекомендуется для большинства игроков.
sys_traditional_description	Removes the on-rails control style entirely.\nRecommended for experienced players who know what they want.						Remove o sistema de controle linear por completo.\nRecomendado para jogadores experientes.	Remueve el sistema lineal por completo.\nRecomendado para quienes saben lo que quieren.						Полностью отключает стиль управления """по рельсам""".\nРекомендуется опытным игрокам,\nкоторые знают, чего хотят.
sys_retry	Retry		リトライ	Otra Vez	Recommencer 	Ricomincia	Reiniciar	Reintentar	Erneut versuchen	Powtórz	重來	Tekrarla	Försök igen	Заново
sys_next	Next		つぎへ	Continuar	Suivant 	Prossimo	Próximo	Continuar	Weiter	Dalej	繼續	Sonraki	Nästa	Далее
sys_back	Back		もどる				Retornar	Volver						
sys_return	Return		もどる	Volver	Retour	Ritorna	Voltar	Regresar	Zurück	Powrót	返回	Geri dön	Återvänd	Назад
sys_skip	Skip		スキップ				Pular	Saltar	Überspringen		跳過			Пропустить
sys_quit	Quit		やめる	Salir	Quitter 	Esci dal Gioco	Sair	Salir	Verlassen	Wyjdź	退出	Çık	Avsluta	Выход
sys_quit_description	Quit the Game?		ゲームをやめてします。\nよろしいですか?	¿Quieres Salir del Juego?	Quitter le jeu ? 	Abbandonare il Gioco?	Sair do Jogo?	¿Quieres cerrar el juego?	Spiel verlassen?	Wyjść z gry?	退出遊戲？	Oyundan çıkılsın mı?	Avsluta spelet?	Выйти из игры?
sys_presets	Presets		プリセット	Conjuntos	Préréglages	Preimpostazioni	Conjuntos	Conjuntos de habilidades	Voreinstellungen	Szablony	技能組合	Ön ayarlar	Förinställningar	Шаблон
sys_save	Save		セーブ	Guardar	Sauvegarder	Salvataggio	Salvar	Guardar	Speichern	Zapisz	儲存	Kaydet	Spara	Сохранить
